Date,"AI risk","AI safety"
2021-01,4,40
2021-02,4,84
2021-03,1,66
2021-04,0,33
2021-05,2,29
2021-06,2,36
2021-07,4,30
2021-08,2,30
2021-09,5,31
2021-10,7,41
2021-11,2,33
2021-12,1,36
2022-01,1,30
2022-02,1,43
2022-03,1,37
2022-04,3,34
2022-05,9,48
2022-06,9,49
2022-07,4,52
2022-08,4,51
2022-09,9,46
2022-10,6,47
2022-11,4,52
2022-12,6,65
2023-01,4,318
2023-02,2,1315
2023-03,6,3638
2023-04,5,6099
2023-05,6,7648
2023-06,6,4497
2023-07,4,4298
2023-08,4,5344
2023-09,4,4632
2023-10,8,4754
2023-11,8,8045
2023-12,2,3312
2024-01,5,3217
2024-02,216,3495
2024-03,476,5991
2024-04,439,3615
2024-05,468,5260
2024-06,389,5743
2024-07,331,3748
2024-08,339,4777
2024-09,340,5688
2024-10,387,8776
2024-11,365,6003
2024-12,396,7831
2025-01,863,8070
2025-02,700,6852
2025-03,592,4944
2025-04,613,4136
2025-05,418,4919
2025-06,12,4788
2025-07,17,5118
2025-08,20,5896
2025-09,210,5780
2025-10,22,6823
2025-11,14,5475
2025-12,9,5375
2026-01,16,4774
2026-02,16,6816
2026-03,15,5983
