revid,parentid,user,userid,timestamp,size,comment,tags,page,resolved_title,Article,anon,temp
660315767,0,The Transhumanist,1754504,2015-05-01T21:17:43Z,35848,"gather material from [[Artificial general intelligence]], [[Global catastrophic risk]], [[Ethics of artificial intelligence]], [[Technological singularity]], [[Intelligence explosion]], [[Superintelligence]], [[AI takeover]]]]",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660316466,660315767,The Transhumanist,1754504,2015-05-01T21:22:33Z,35894,"rearrange material into relevant sections, add end sections",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660317784,660316466,The Transhumanist,1754504,2015-05-01T21:31:26Z,35467,"rearrange material into relevant sections - need to take a break, I will be back soon",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660319933,660317784,AnomieBOT,7611264,2015-05-01T21:47:21Z,36929,Rescuing orphaned refs,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660319961,660319933,The Transhumanist,1754504,2015-05-01T21:47:35Z,37446,"/* top */ work on lead, describing topic in relevant concepts",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660321748,660319961,The Transhumanist,1754504,2015-05-01T22:01:03Z,37570,add self-replication to lead\,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660338574,660321748,The Transhumanist,1754504,2015-05-02T00:08:06Z,37543,/* Dangers */ delink,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660343753,660338574,The Transhumanist,1754504,2015-05-02T00:50:34Z,38535,/* Dangers */ place paragraphs in unfriendly AI section,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660344563,660343753,The Transhumanist,1754504,2015-05-02T00:57:59Z,36865,rm duplicate paragraph,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660346314,660344563,The Transhumanist,1754504,2015-05-02T01:12:47Z,36136,/* Dangers */ place paragraphs in unfriendly AI section; rm duplicate paragraph,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660347509,660346314,The Transhumanist,1754504,2015-05-02T01:23:19Z,36137,/* Unfriendly AI */ rearrange section,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660347976,660347509,The Transhumanist,1754504,2015-05-02T01:27:07Z,36137,move paragraph to superintelligence section,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660349655,660347976,The Transhumanist,1754504,2015-05-02T01:38:57Z,36155,place paragraph,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660354277,660349655,The Transhumanist,1754504,2015-05-02T02:15:02Z,35038,"paragraph placement, remove dupes",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660355759,660354277,The Transhumanist,1754504,2015-05-02T02:27:40Z,32266,"place paragraphs, remove duplicates, remove irrelevant paragraph",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660357443,660355759,The Transhumanist,1754504,2015-05-02T02:42:21Z,32706,/* External links */ add links,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660357934,660357443,The Transhumanist,1754504,2015-05-02T02:46:44Z,32889,/* External links */ add cats,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660358208,660357934,The Transhumanist,1754504,2015-05-02T02:49:02Z,32926,/* External links */ cat,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660359486,660358208,The Transhumanist,1754504,2015-05-02T02:59:37Z,31662,remove duplicate,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660397282,660359486,The Transhumanist,1754504,2015-05-02T09:11:20Z,31693,/* See also */ add link,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660480779,660397282,The Transhumanist,1754504,2015-05-02T19:22:30Z,31688,/* Dangers */ correct link to transhumanism,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660484546,660480779,The Transhumanist,1754504,2015-05-02T19:48:31Z,31671,/* top */ rm constuction tag,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660490648,660484546,The Transhumanist,1754504,2015-05-02T20:34:56Z,31719,/* See also */ add link,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
660490897,660490648,The Transhumanist,1754504,2015-05-02T20:37:07Z,31737,/* See also */ add links,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
661516559,660490897,The Transhumanist,1754504,2015-05-09T06:07:58Z,28905,"/* Emergent superintelligence */ trim section, see [[Superintelligence]] for full coverage",[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
661516682,661516559,The Transhumanist,1754504,2015-05-09T06:09:48Z,28902,/* Emergent superintelligence */ {{Main|Superintelligence}},[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
661518828,661516682,The Transhumanist,1754504,2015-05-09T06:41:38Z,29422,/* Self-replicating machines */ add paragraph,[],Existential_risk_from_artificial_intelligence,Existential risk from artificial intelligence,Existential_risk_from_artificial_intelligence,,
